# generated by generate_fluctuations.py
# config: configs/multiscan_lorentzian.yaml
# seed=12345 length_m=0.008 dx_m=5e-06 rho=0.5
# dW: {'type': 'lorentzian', 'sigma': 0.05, 'tau_m': 0.0002}
# dD: {'type': 'lorentzian', 'sigma': 0.06, 'tau_m': 0.0002}
# empirical: sigma_W=5.0000e-02 sigma_D=6.0000e-02 corr=+0.5001
# columns: s[m]   dW_over_W   dD_over_D
0.000000000e+00  -8.749536e-03  -3.168727e-02
5.000000000e-06  -2.894054e-02  -3.915787e-02
1.000000000e-05  -1.480079e-02  -1.259510e-02
1.500000000e-05  -9.502651e-03  -1.345377e-02
2.000000000e-05  -1.100487e-02  -1.210596e-02
2.500000000e-05  -2.621448e-02  -1.922605e-02
3.000000000e-05  -2.984246e-02  -4.542105e-02
3.500000000e-05  -2.515129e-02  -4.968587e-02
4.000000000e-05  -2.000101e-02  -5.846532e-02
4.500000000e-05  -1.862775e-02  -4.496489e-02
5.000000000e-05  -2.061360e-02  -4.274273e-02
5.500000000e-05  -2.743916e-02  -2.960489e-02
6.000000000e-05  -2.471501e-02  -1.818333e-02
6.500000000e-05  -9.990330e-03  -4.054562e-03
7.000000000e-05  -1.339688e-02  -3.097126e-02
7.500000000e-05  -3.965987e-02  -4.107556e-02
8.000000000e-05  -2.852851e-02  -2.449458e-02
8.500000000e-05  -2.632467e-02  -2.627192e-03
9.000000000e-05  -2.536703e-02  7.605860e-03
9.500000000e-05  -3.007219e-02  7.155225e-03
1.000000000e-04  -4.996945e-02  2.124939e-03
1.050000000e-04  -6.254203e-02  -7.003606e-03
1.100000000e-04  -6.636330e-02  -5.826465e-03
1.150000000e-04  -5.941670e-02  -2.753556e-03
1.200000000e-04  -5.659776e-02  1.912068e-02
1.250000000e-04  -7.162125e-02  1.269749e-02
1.300000000e-04  -5.567025e-02  2.675557e-02
1.350000000e-04  -2.636872e-02  5.568554e-02
1.400000000e-04  -9.196256e-03  5.393696e-02
1.450000000e-04  -4.417554e-03  4.023182e-02
1.500000000e-04  -3.451467e-02  6.723570e-03
1.550000000e-04  -2.666377e-02  1.231133e-02
1.600000000e-04  -1.129247e-02  3.500591e-02
1.650000000e-04  -1.742788e-02  3.267972e-02
1.700000000e-04  -7.773534e-03  2.223909e-02
1.750000000e-04  -1.142536e-02  1.837805e-02
1.800000000e-04  -2.232742e-02  2.334221e-04
1.850000000e-04  -2.912273e-02  -3.052942e-03
1.900000000e-04  -3.019740e-02  -1.598194e-02
1.950000000e-04  -2.797069e-02  -3.466567e-02
2.000000000e-04  -1.840129e-02  -3.448443e-02
2.050000000e-04  -3.840598e-02  -5.745371e-02
2.100000000e-04  -4.845067e-02  -5.159052e-02
2.150000000e-04  -5.067742e-02  -6.714977e-02
2.200000000e-04  -6.012344e-02  -1.001620e-01
2.250000000e-04  -4.914373e-02  -1.001469e-01
2.300000000e-04  -5.895972e-02  -1.043022e-01
2.350000000e-04  -7.357624e-02  -1.134001e-01
2.400000000e-04  -6.521854e-02  -1.289847e-01
2.450000000e-04  -6.755896e-02  -1.343808e-01
2.500000000e-04  -8.020143e-02  -1.466013e-01
2.550000000e-04  -7.120505e-02  -1.547524e-01
2.600000000e-04  -3.974165e-02  -1.072280e-01
2.650000000e-04  -2.654384e-02  -8.986371e-02
2.700000000e-04  -2.390747e-02  -9.028797e-02
2.750000000e-04  -2.795503e-02  -9.227023e-02
2.800000000e-04  -3.688893e-02  -1.010613e-01
2.850000000e-04  -2.000307e-02  -1.122078e-01
2.900000000e-04  -2.332301e-02  -1.230092e-01
2.950000000e-04  -4.442708e-02  -1.301999e-01
3.000000000e-04  -4.046491e-02  -1.443939e-01
3.050000000e-04  -3.749306e-02  -1.464231e-01
3.100000000e-04  -4.028677e-02  -1.705484e-01
3.150000000e-04  -3.176859e-02  -1.717137e-01
3.200000000e-04  -1.695603e-02  -1.561195e-01
3.250000000e-04  -1.124038e-02  -1.495408e-01
3.300000000e-04  1.906302e-03  -1.428138e-01
3.350000000e-04  2.783761e-03  -1.346885e-01
3.400000000e-04  7.111454e-04  -1.345152e-01
3.450000000e-04  1.141286e-02  -1.099673e-01
3.500000000e-04  1.115599e-02  -1.097366e-01
3.550000000e-04  1.787794e-02  -1.108352e-01
3.600000000e-04  2.436220e-02  -8.935390e-02
